"application_id","organization_id","provider_id","snapshot_date_id","applicationcode","fullresourcescount","devresourcescount","qaresourcescount","pdnresourcescount","fullaccountscount","devaccountscount","qaaccountscount","pdnaccountscount","redsecuritycheckscount","redsecurityresourcescount","yellowsecuritycheckscount","yellowsecurityresourcescount","redfaulttolerancecheckscount","redfaulttoleranceresourcescount","yellowfaulttolerancecheckscount","yellowfaulttoleranceresourcescount","redperformancecheckscount","redperformanceresourcescount","yellowperformancecheckscount","yellowperformanceresourcescount","redcostoptimizingcheckscount","redcostoptimizingresourcescount","yellowcostoptimizingcheckscount","yellowcostoptimizingresourcescount","redsecuritydensity","yellowsecuritydensity","redfaulttolerancedensity","yellowfaulttolerancedensity","redperformancedensity","yellowperformancedensity","redcostoptimizingdensity","yellowcostoptimizingdensity","ppn_tm","pdnresourcessize","clasification"
"59","1","1","20231021","app00059","29","18","4","7","5","2","2","1","1","3","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0.429","0.429","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.845","Red"
"625","1","1","20231021","app00625","28","24","1","3","4","2","1","1","1","1","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0.333","0.333","0.000","0.333","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Red"
"324","1","1","20231021","app00324","9","1","2","6","3","1","1","1","1","2","2","4","0","0","1","2","0","0","0","0","0","0","0","0","0.333","0.667","0.000","0.333","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Red"
"736","1","1","20231021","app00736","6","3","0","3","3","1","0","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.333","0.333","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Red"
"785","1","1","20231021","app00785","363","49","163","151","3","1","1","1","2","14","6","52","1","56","3","1","0","0","0","0","0","0","0","0","0.093","0.344","0.371","0.007","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","2.179","Red"
"631","1","1","20231021","app00631","31","14","15","2","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.500","0.500","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.301","Red"
"138","1","1","20231021","app00138","2","0","0","2","1","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0.500","0.500","0.500","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.301","Red"
"215","1","1","20231021","app00215","8","4","2","2","4","2","1","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0.500","0.500","0.000","0.500","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.301","Red"
"851","1","1","20231021","app00851","105","50","52","3","3","1","1","1","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0.667","0.667","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Red"
"392","1","1","20231021","app00392","5","0","2","3","2","0","1","1","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0.667","0.667","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Red"
"849","1","1","20231021","app00849","28","11","7","10","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.100","0.100","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.000","Yellow"
"878","1","1","20231021","app00878","35","6","11","18","5","1","1","3","0","0","1","4","1","2","2","2","0","0","0","0","0","0","0","0","0.000","0.222","0.111","0.111","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.255","Yellow"
"102","1","1","20231021","app00102","42","14","12","16","3","1","1","1","1","2","2","3","0","0","2","3","0","0","0","0","0","0","0","0","0.125","0.188","0.000","0.188","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.204","Yellow"
"425","1","1","20231021","app00425","29","12","7","10","4","1","1","2","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0.100","0.100","0.000","0.100","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.000","Yellow"
"546","1","1","20231021","app00546","30","10","10","10","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.100","0.100","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.000","Yellow"
"545","1","1","20231021","app00545","109","33","33","43","3","1","1","1","0","0","2","3","2","8","1","1","0","0","0","0","0","0","0","0","0.000","0.070","0.186","0.023","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.633","Yellow"
"318","1","1","20231021","app00318","44","6","0","38","2","1","0","1","2","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.105","0.026","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.580","Yellow"
"281","1","1","20231021","app00281","31","10","11","10","3","1","1","1","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.100","0.200","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.000","Yellow"
